,encoding_name,fname,auc,,,nasal,continuant,coronal_dorsal,coronal_labial,labial_dorsal,voice,,
1,phones_dictio_15,nasal,0.41875,,phones_dictio_15,0.41875,0.520833333,0.514583333,0.622894737,0.64375,0.538213213,0.543170769,
2,phones_dictio_15,continuant,0.520833333,,phones_dictio_20,0.615972222,0.625,0.657638889,0.563157895,0.574305556,0.586111111,0.603697612,
3,phones_dictio_15,coronal_dorsal,0.514583333,,phones_dictio_25,0.452083333,0.491452991,0.58125,0.722105263,0.588194444,0.578753754,0.568973298,
4,phones_dictio_15,coronal_labial,0.622894737,,phones_dictio_30,0.610416667,0.409188034,0.484027778,0.619210526,0.399305556,0.617642643,0.523298534,0.559785053
5,phones_dictio_15,labial_dorsal,0.64375,,,,,,,,,,
6,phones_dictio_15,voice,0.538213213,,phones_real_15,0.795138889,0.571581197,0.786805556,0.697368421,0.814583333,0.709309309,0.729131117,
7,phones_dictio_20,nasal,0.615972222,,phones_real_20,0.649305556,0.522435897,0.832638889,0.607631579,0.803472222,0.593018018,0.668083694,
8,phones_dictio_20,continuant,0.625,,phones_real_25,0.420138889,0.624465812,0.732638889,0.655789474,0.682638889,0.633708709,0.624896777,
9,phones_dictio_20,coronal_dorsal,0.657638889,,phones_real_30,0.58125,0.633012821,0.779861111,0.638684211,0.771527778,0.661036036,0.677561993,0.674918395
10,phones_dictio_20,coronal_labial,0.563157895,,,,,,,,,,
11,phones_dictio_20,labial_dorsal,0.574305556,,phones_#_dictio_15,0.504861111,0.433226496,0.550694444,0.586315789,0.415972222,0.542717718,0.505631297,
12,phones_dictio_20,voice,0.586111111,,phones_#_dictio_20,0.695138889,0.595619658,0.563194444,0.635263158,0.577083333,0.535810811,0.600351716,
13,phones_dictio_25,nasal,0.452083333,,phones_#_dictio_25,0.779861111,0.531517094,0.674305556,0.516315789,0.713194444,0.53490991,0.625017317,
14,phones_dictio_25,continuant,0.491452991,,phones_#_dictio_30,0.650694444,0.491452991,0.736805556,0.615526316,0.722916667,0.646321321,0.643952883,0.593738303
15,phones_dictio_25,coronal_dorsal,0.58125,,,,,,,,,,
16,phones_dictio_25,coronal_labial,0.722105263,,phones_#_real_15,0.38125,0.699252137,0.525694444,0.626315789,0.710416667,0.605630631,0.591426611,
17,phones_dictio_25,labial_dorsal,0.588194444,,phones_#_real_20,0.653472222,0.452457265,0.561805556,0.550526316,0.75625,0.53521021,0.584953595,
18,phones_dictio_25,voice,0.578753754,,phones_#_real_25,0.628472222,0.598290598,0.724305556,0.557631579,0.81875,0.608783784,0.656038956,
19,phones_dictio_30,nasal,0.610416667,,phones_#_real_30,0.645138889,0.584401709,0.802083333,0.48,0.64375,0.618243243,0.628936196,0.61533884
20,phones_dictio_30,continuant,0.409188034,,,,,,,,,,
21,phones_dictio_30,coronal_dorsal,0.484027778,,,0.592621528,0.549011752,0.656770833,0.605921053,0.664756944,0.596588776,,
22,phones_dictio_30,coronal_labial,0.619210526,,,,,,,,,,
23,phones_dictio_30,labial_dorsal,0.399305556,,,,,,,,,,
24,phones_dictio_30,voice,0.617642643,,,,,,,,,,
25,phones_real_15,nasal,0.795138889,,,,,,,,,,
26,phones_real_15,continuant,0.571581197,,,,,,,,,,
27,phones_real_15,coronal_dorsal,0.786805556,,,,,,,,,,
28,phones_real_15,coronal_labial,0.697368421,,,,,,,,,,
29,phones_real_15,labial_dorsal,0.814583333,,,,,,,,,,
30,phones_real_15,voice,0.709309309,,,,,,,,,,
31,phones_real_20,nasal,0.649305556,,,,,,,,,,
32,phones_real_20,continuant,0.522435897,,,,,,,,,,
33,phones_real_20,coronal_dorsal,0.832638889,,,,,,,,,,
34,phones_real_20,coronal_labial,0.607631579,,,,,,,,,,
35,phones_real_20,labial_dorsal,0.803472222,,,,,,,,,,
36,phones_real_20,voice,0.593018018,,,,,,,,,,
37,phones_real_25,nasal,0.420138889,,,,,,,,,,
38,phones_real_25,continuant,0.624465812,,,,,,,,,,
39,phones_real_25,coronal_dorsal,0.732638889,,,,,,,,,,
40,phones_real_25,coronal_labial,0.655789474,,,,,,,,,,
41,phones_real_25,labial_dorsal,0.682638889,,,,,,,,,,
42,phones_real_25,voice,0.633708709,,,,,,,,,,
43,phones_real_30,nasal,0.58125,,,,,,,,,,
44,phones_real_30,continuant,0.633012821,,,,,,,,,,
45,phones_real_30,coronal_dorsal,0.779861111,,,,,,,,,,
46,phones_real_30,coronal_labial,0.638684211,,,,,,,,,,
47,phones_real_30,labial_dorsal,0.771527778,,,,,,,,,,
48,phones_real_30,voice,0.661036036,,,,,,,,,,
49,phones_#_dictio_15,nasal,0.504861111,,,,,,,,,,
50,phones_#_dictio_15,continuant,0.433226496,,,,,,,,,,
51,phones_#_dictio_15,coronal_dorsal,0.550694444,,,,,,,,,,
52,phones_#_dictio_15,coronal_labial,0.586315789,,,,,,,,,,
53,phones_#_dictio_15,labial_dorsal,0.415972222,,,,,,,,,,
54,phones_#_dictio_15,voice,0.542717718,,,,,,,,,,
55,phones_#_dictio_20,nasal,0.695138889,,,,,,,,,,
56,phones_#_dictio_20,continuant,0.595619658,,,,,,,,,,
57,phones_#_dictio_20,coronal_dorsal,0.563194444,,,,,,,,,,
58,phones_#_dictio_20,coronal_labial,0.635263158,,,,,,,,,,
59,phones_#_dictio_20,labial_dorsal,0.577083333,,,,,,,,,,
60,phones_#_dictio_20,voice,0.535810811,,,,,,,,,,
61,phones_#_dictio_25,nasal,0.779861111,,,,,,,,,,
62,phones_#_dictio_25,continuant,0.531517094,,,,,,,,,,
63,phones_#_dictio_25,coronal_dorsal,0.674305556,,,,,,,,,,
64,phones_#_dictio_25,coronal_labial,0.516315789,,,,,,,,,,
65,phones_#_dictio_25,labial_dorsal,0.713194444,,,,,,,,,,
66,phones_#_dictio_25,voice,0.53490991,,,,,,,,,,
67,phones_#_dictio_30,nasal,0.650694444,,,,,,,,,,
68,phones_#_dictio_30,continuant,0.491452991,,,,,,,,,,
69,phones_#_dictio_30,coronal_dorsal,0.736805556,,,,,,,,,,
70,phones_#_dictio_30,coronal_labial,0.615526316,,,,,,,,,,
71,phones_#_dictio_30,labial_dorsal,0.722916667,,,,,,,,,,
72,phones_#_dictio_30,voice,0.646321321,,,,,,,,,,
73,phones_#_real_15,nasal,0.38125,,,,,,,,,,
74,phones_#_real_15,continuant,0.699252137,,,,,,,,,,
75,phones_#_real_15,coronal_dorsal,0.525694444,,,,,,,,,,
76,phones_#_real_15,coronal_labial,0.626315789,,,,,,,,,,
77,phones_#_real_15,labial_dorsal,0.710416667,,,,,,,,,,
78,phones_#_real_15,voice,0.605630631,,,,,,,,,,
79,phones_#_real_20,nasal,0.653472222,,,,,,,,,,
80,phones_#_real_20,continuant,0.452457265,,,,,,,,,,
81,phones_#_real_20,coronal_dorsal,0.561805556,,,,,,,,,,
82,phones_#_real_20,coronal_labial,0.550526316,,,,,,,,,,
83,phones_#_real_20,labial_dorsal,0.75625,,,,,,,,,,
84,phones_#_real_20,voice,0.53521021,,,,,,,,,,
85,phones_#_real_25,nasal,0.628472222,,,,,,,,,,
86,phones_#_real_25,continuant,0.598290598,,,,,,,,,,
87,phones_#_real_25,coronal_dorsal,0.724305556,,,,,,,,,,
88,phones_#_real_25,coronal_labial,0.557631579,,,,,,,,,,
89,phones_#_real_25,labial_dorsal,0.81875,,,,,,,,,,
90,phones_#_real_25,voice,0.608783784,,,,,,,,,,
91,phones_#_real_30,nasal,0.645138889,,,,,,,,,,
92,phones_#_real_30,continuant,0.584401709,,,,,,,,,,
93,phones_#_real_30,coronal_dorsal,0.802083333,,,,,,,,,,
94,phones_#_real_30,coronal_labial,0.48,,,,,,,,,,
95,phones_#_real_30,labial_dorsal,0.64375,,,,,,,,,,
96,phones_#_real_30,voice,0.618243243,,,,,,,,,,
