label,c1,c2,c3,c4,c5
iy,0.526911561255,-0.654200588383,0.0332592052306,0.781957484412,-0.0895519952779
aa,0.0297739035896,-1.04799940172,0.462966219985,0.260631073644,0.632222066976
en,0.723578833551,0.167827529454,-0.214737189548,0.21795990962,0.532787415401
ae,0.623289089361,-1.07268199692,1.20532938355,0.56867682578,0.590542306641
eh,0.0324002784878,-1.05993330951,0.467212792044,1.05524928175,1.12722844618
el,1.04840673499,0.139033258014,-0.327844431514,0.47825222898,-0.16038847569
ah,0.352886846034,-0.786875721397,0.112548883159,0.844295181301,0.891083875008
ahn,0.338646313345,-0.0923197314822,0.0020498032849,0.187571874572,0.214241837784
ow,-0.0559577125598,-1.0217550172,-0.0965626426247,0.701505980272,0.191034478653
ao,-0.198429217119,-0.924955041076,0.445966499941,0.270322129896,0.709634025501
w,-0.676948715188,0.324951756998,0.223449450514,-0.806406435408,0.397548686176
ih,0.566775104049,-0.40554248257,0.651249051587,0.941244107343,1.27407872382
ch,-0.757607763712,0.486075978398,-0.479043561064,-0.342338660997,0.162209825581
ey,0.414359978543,-0.485691490396,0.221812161565,0.953514594303,0.347663487871
aw,0.400098354031,-0.712195624194,0.437988500058,0.216248750823,0.393054938507
ay,0.469663743441,-1.4725050481,-0.0218568016382,0.156662684079,-0.0706053934867
zh,-0.120023087128,0.478370290892,-0.326482269519,-0.129858547522,-0.0549382923609
tq,-0.143400918463,0.251727512667,-0.888807179542,0.117881796292,-0.351170022742
er,1.05157208561,-0.142655505761,0.123850917187,0.725834073758,0.252781853388
#,-1.20592967086,1.50118590329,1.18074023259,1.25851751194,-1.25821233626
ayn,0.14779840238,-0.0265395859316,0.0201108779329,0.0238549281216,0.152288194341
eng,0.188102748014,0.0844945894864,-0.0639959547177,0.00812118576311,0.179323025669
aan,0.226798707878,-0.0165288289038,-0.0212705454497,0.0844900977947,0.272164934624
eyn,0.166051739448,-0.0173034941909,0.0539492486914,0.0504146989605,0.190543242283
nx,0.180573109421,1.11524576066,-0.305292085339,-0.882831837465,-0.91851891969
oyn,0.189102370131,0.0388531531116,0.0314608879164,-0.0059814512364,0.145977706336
r,1.05381809398,0.534792736494,0.733171112119,-0.73155738807,-0.404684909005
th,0.0179433316373,0.238234115586,-0.94276001156,-0.449638081655,-0.259910743445
t,-0.402576098527,0.388700761688,-0.784241947102,0.0282798712053,0.263945721107
ehn,0.278923822824,-0.0964879840683,-0.00984387854963,0.0883952496252,0.274551880021
<,-0.0378628504361,0.544080669868,0.194774921212,0.201351389249,-0.223319310243
>,-0.227069770636,0.526442681682,0.351919225052,0.00364224589105,-0.058250194086
ng,1.05908019535,1.10763663009,-0.978536798669,0.832654045524,-0.491241140104
dh,-0.558200386015,-0.0606952437876,-0.321929850485,-1.2480910375,-0.598385666734
uhn,0.101975522465,0.091566641068,-0.00753155496211,-0.0266843142623,0.135894851184
aon,0.106129627536,-0.0366874160903,-0.0237456081166,-0.039625429587,0.165219957972
aen,0.245745734596,-0.119681636802,0.229114185279,0.03031948374,0.344071619888
awn,0.11727001933,-0.0184197851942,0.0559204724105,0.0238952652724,0.166927574688
hh,-0.273573494285,0.0479184327244,0.261641907294,-0.99653000902,-0.454162353072
jh,-0.437504708788,0.77310328118,-0.479376791526,-0.356471174428,0.265419496296
ahl,0.0812379054214,0.119187881916,-0.0189290481247,-0.0270607764608,0.133691888689
dx,-0.303261719296,0.744391035289,-0.926613057202,-0.630047419785,-0.315907568234
own,0.363203373566,-0.440634427996,0.198234393121,0.191725849136,0.279395320402
em,0.576845308997,-0.716387402193,0.510076507831,-0.53623845954,-0.511244701546
iyih,0.081296833382,0.120516367175,-0.0184681697608,-0.0262322242172,0.132879853359
b,-0.409383475895,0.674306984968,0.282873882881,-1.0832128395,0.201862649025
d,-0.279894883744,0.45504114105,-0.842625545326,-0.134709873697,0.0123253733864
g,-0.522799795574,0.870084477058,-0.372711154456,-0.369092783372,0.389819726967
f,-0.703971217303,0.718658265171,-0.294005966144,-0.639711595368,0.514221593373
h,0.0768305807159,0.119148169581,-0.0205704090535,-0.0273533453313,0.134574368314
k,-0.767085360588,1.0309936862,-0.594005365045,-0.082250180032,0.961292305357
iyn,0.161918201179,-0.0571924119553,-0.05507938659,0.0176109907147,0.088306159002
m,-0.195673329323,0.867288838033,0.0594376800662,-0.66388809422,0.180608251351
l,0.81238236048,1.10184342842,0.48425196372,-0.697309017116,-0.0100071386634
o,0.0812379054214,0.119187881916,-0.0189290481247,-0.0270607764608,0.133691888689
n,0.408418352606,0.89654229467,-0.164998489081,-0.38981640072,-0.0276535373282
p,-0.695558569235,0.668494319635,0.135092016486,-0.827196806957,0.528799603886
s,0.27635523475,1.15121457978,-0.0517587696186,-0.219495303971,0.613869093124
sh,-0.277024897571,0.976777505644,-0.331321992125,-0.385665208505,0.305235402466
uh,0.772830986382,-0.495822943454,0.244121712357,0.49757837852,0.502833682769
oy,0.399352381267,-0.226962218437,0.146864716446,0.240593978366,0.129875855538
v,-0.601520938762,0.701514466084,-0.438888483671,-0.662040376505,-0.0245953905607
y,-0.825028078335,-0.132024830898,-0.813379669741,-0.722333701101,-0.527771098998
ihn,0.375653765169,-0.00265839585738,0.140861523831,0.213622772547,0.215159219435
z,0.0866455570133,0.405665007616,-0.552632586368,-0.085158404843,-0.381417668587
uw,0.853894875655,-0.38104374959,0.814216222939,0.154546047884,0.31393461177
uwn,0.0930181951355,0.137269636089,0.0351607289266,-0.0106810729638,0.122264818028
